fips_code,county,state,customers_out,run_start_time
09015,Windham,Connecticut,32,2019-01-02 01:30:00
09001,Fairfield,Connecticut,368,2019-01-02 01:45:00
09005,Litchfield,Connecticut,61,2019-01-02 01:45:00
09009,New Haven,Connecticut,1,2019-01-02 01:45:00
09013,Tolland,Connecticut,35,2019-01-02 01:45:00
09015,Windham,Connecticut,32,2019-01-02 01:45:00
09001,Fairfield,Connecticut,368,2019-01-02 02:00:00
09005,Litchfield,Connecticut,61,2019-01-02 02:00:00
09013,Tolland,Connecticut,34,2019-01-02 02:00:00
09015,Windham,Connecticut,34,2019-01-02 02:00:00
09001,Fairfield,Connecticut,368,2019-01-02 02:15:00
09005,Litchfield,Connecticut,61,2019-01-02 02:15:00
09015,Windham,Connecticut,10,2019-01-02 02:15:00
09001,Fairfield,Connecticut,368,2019-01-02 02:30:00
09005,Litchfield,Connecticut,39,2019-01-02 02:30:00
09015,Windham,Connecticut,10,2019-01-02 02:30:00
09001,Fairfield,Connecticut,368,2019-01-02 02:45:00
09005,Litchfield,Connecticut,39,2019-01-02 02:45:00
09015,Windham,Connecticut,10,2019-01-02 02:45:00
09001,Fairfield,Connecticut,1,2019-01-02 03:00:00
09005,Litchfield,Connecticut,39,2019-01-02 03:00:00
09015,Windham,Connecticut,8,2019-01-02 03:00:00
09001,Fairfield,Connecticut,1,2019-01-02 03:15:00
09005,Litchfield,Connecticut,39,2019-01-02 03:15:00
09015,Windham,Connecticut,5,2019-01-02 03:15:00
09001,Fairfield,Connecticut,1,2019-01-02 03:30:00
09005,Litchfield,Connecticut,39,2019-01-02 03:30:00
09015,Windham,Connecticut,5,2019-01-02 03:30:00
09001,Fairfield,Connecticut,1,2019-01-02 03:45:00
09005,Litchfield,Connecticut,39,2019-01-02 03:45:00
09015,Windham,Connecticut,5,2019-01-02 03:45:00
09001,Fairfield,Connecticut,1,2019-01-02 04:00:00
09005,Litchfield,Connecticut,39,2019-01-02 04:00:00
09015,Windham,Connecticut,5,2019-01-02 04:00:00
09001,Fairfield,Connecticut,1,2019-01-02 04:15:00
09005,Litchfield,Connecticut,39,2019-01-02 04:15:00
09015,Windham,Connecticut,5,2019-01-02 04:15:00
09001,Fairfield,Connecticut,1,2019-01-02 04:30:00
09005,Litchfield,Connecticut,39,2019-01-02 04:30:00
09015,Windham,Connecticut,2,2019-01-02 04:30:00
09005,Litchfield,Connecticut,39,2019-01-02 04:45:00
